PK,ticker,Date,category,title,content,Open,High,Low,Close,Adj Close,Volume,label
0,AAPL,27-01-2020,opinion,Apple Set To Beat Q1 Earnings Estimates  Tech ETFs To Buy,Technology giant Apple   NASDAQ AAPL   is set to release first quarter fiscal 2020 results on Jan 28 after market close  Since Apple accounts for more than 19  of total market capitalization of the entire technology sector in the S P 500 Index  it is worth taking a look at its fundamentals ahead of its quarterly results Apple has been hitting record highs lately  It has returned about 28  over the past three months  on par with the industry s gain  The momentum is expected to continue if the company beats estimates in the soon to be reported quarter  read    Inside Our MethodologyApple has a Zacks Rank  2  Buy  and an  of  4 08   According to our methodology  the combination of a positive Earnings ESP and a Zacks Rank  1  Strong Buy   2  Buy  or 3  Hold  increases the chances of an earnings beat  You can uncover the best stocks to buy or sell before they re reported with our  Apple saw positive earnings estimate revision of a couple of cents over the past 30 days for the fiscal first quarter  Analysts rais...,77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
1,AAPL,27-01-2020,opinion,Tech Daily  Intel Results  Netflix Surge  Apple Valuation  Google ATVI Deal  More,The top stories in this digest are Intel s   NYSE T   earnings  Netflix s   NASDAQ NFLX   surging share price  Apple s   NASDAQ AAPL   valuation concerns  the Alphabet   NASDAQ GOOGL   Activision   NYSE T   deal and positive sentiment on the memory chip segment  These and other stories are detailed below Intel ResultsIntel s reported earnings of  1 52 thrashed the Zacks Consensus Estimate of  1 24 while revenues of  20 2 billion did just as well  beating the expectation of  19 2 billion While performance was mixed across segments  the company s all important DCG segment did much better than expected  Notably  investors heaved a sigh of relief as sales to cloud service providers grew 48   allaying fears that they ve successfully built in house components  This was the primary driver of share prices  which jumped around 9  since the announcement Telecom service providers also provided some 5G related strength  but at 14  growth it wasn t as significant  As expected  the PC business where Intel has the domina...,77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
2,AAPL,27-01-2020,opinion,7 Monster Stock Market Predictions For The Week Of January 27,"S P 500  SPY 
This week will be packed with economic data and earnings  It will be  to some extent  a defining week for the market  with many of the biggest companies reporting results 

The good news for the S P 500 is that the index found some support around 3 282  but it may find it hard to get back above 3 300  If the index fails to rise above 3 300 on Monday  it seems likely we are heading lower to 3 255  and then 3 240 






Apple  AAPL Apple  NASDAQ AAPL  will report results on Tuesday  and this company will have a ton of pressure on it to deliver a beat and raise quarter  I own the stock  but I think it might be hard to live up to that pressure  The shares are overbought based on the RSI  Additionally  the RSI is starting to diverge from the rising stock price  There is also a rising wedge pattern forming in the chart  and it suggests to me the stock falls after results  with support first at  310  then  300  and  290 






AMD  AMD 
Advanced Micro Devices  NASDAQ AMD  will report results on Tues...",77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
3,AAPL,27-01-2020,opinion,Apple Earnings Preview  5G Launch  Expanding Services Business To Fuel Growth,"  Reports Q1 2020 results on Tuesday  Jan  28  after the close
  Revenue expectation   88 38B
  EPS expectation   4 54
No other earnings report is as important to investors as the one which the iPhone maker Apple  NASDAQ AAPL  will release on Tuesday evening  The reason  the meteoric gains of Apple s shares provided much of the fuel for the U S  market s strong rally during the past year 
After more than doubling in value  Apple is now priced to perfection  leaving no margin for the company to disappoint  The rally of the past 12 months has been so powerful that it added over  725 billion to the company s market capitalization  taking it to about  1 4 trillion  The stock closed Friday at  318 31  only slightly lower than its record high of  323 33 
Driving this extreme optimism is hope that Apple s iPhone business remains robust and will get another boost when the company releases its 5G models  currently expected in September 2020  which will allow consumers to have a much faster connection speed and help...",77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
4,AAPL,27-01-2020,opinion,Buy Surging Apple   Microsoft Stock Before Quarterly Earnings ,"On today s episode of Full Court Finance here at Zacks  we dive into everything investors need to know about Apple   NASDAQ AAPL   and Microsoft   NASDAQ MSFT   stock to help figure out if either tech giant is worth buying heading into quarterly earnings 
The Dow  S P 500  and Nasdaq all tumbled Monday as fears about the coronavirus grow  Worries about the continued spread of the virus  which has already killed at least 80 people  could hover over the markets for some time 
But this doesn t change the fact that this week features earnings reports from some of the biggest tech companies in the world  including Amazon   NASDAQ AMZN    Facebook   NASDAQ FB    and the two  1 trillion market cap giants we discuss today 
Apple and Microsoft are both market movers that have soared over the last year  Both companies have also started to expand newer businesses  Apple s services unit now features everything from its app store to its Netflix   NASDAQ NFLX   challenger Apple TV   Meanwhile  Microsoft has become one o...",77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
5,AAPL,27-01-2020,opinion,Top Stock Analyst Reports For Merck  Broadcom   Sanofi,Monday  January 27  2020The Zacks Research Daily presents the best research output of our analyst team  Today s Research Daily features new research reports on 16 major stocks  including Merck  MRK   Broadcom  NASDAQ AVGO   AVGO  and Sanofi  PA SASY   SNY   These research reports have been hand picked from the roughly 70 reports published by our analyst team today You can see Merck s shares have outperformed the Zacks Large Cap Pharmaceuticals industry over the past year   17 9  vs   16 1    The Zacks analyst believes that Merck s products like Keytruda  Lynparza and Bridion are driving sales Keytruda sales are gaining from continued uptake in lung cancer and increased usage in other cancer indications  Keytruda has strong growth prospects based on increased utilization  recent approvals for new indications and potential additional approvals worldwide  Animal health and vaccine products are also doing well and remain core growth drivers However  generic competition for several drugs and pricing pressure wi...,77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
6,AAPL,27-01-2020,news,Stocks   Europe Seen Opening Lower as Virus Concerns Intensify,"By Peter Nurse 
Investing com   European stock markets are set to open sharply lower Monday  following weakness in Asia caused by a sharp escalation of Chinese measures to curtail the spread of the deadly coronavirus 
At 02 15 ET  0715 GMT   the DAX futures contract traded 137 points  or 1  lower  France s CAC 40 futures were down 72 points  or 1 2   while the FTSE 100 futures contract in the U K  dropped 63 points  or 0 9   Futures on the pan eurozone index  the Euro Stoxx 50  fell 40 points  or 1 1  
Markets in mainland China and Hong Kong are shut  but Japan s Nikkei 225 closed 2  lower and Brent crude futures continues to tumble  hitting their lowest level since October as traders priced in the hit to Chinese demand  
Gold futures and government bonds rallied 
 According to recent clinical information  the virus s ability to spread seems to be getting somewhat stronger   China s National Health Commission Minister Ma Xiaowei said at a press briefing Sunday  adding that it is infectious in its incubatio...",77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
7,AAPL,27-01-2020,news,Intelligent Systems wins bullish rating from BTIG on Apple Card role,"BTIG analyst Mark Palmer initiates coverage of small cap Intelligent Systems  INS  0 3   with Buy recommendation for its role in helping Goldman Sachs serve as processor for the launch of the Apple Card 
 We believe INS is an overlooked small cap stock with compelling growth prospects   Palmer writes in a note 
Sees INS s growth to be slower in 2020  though still very strong  as it executes on the Apple Card project   We view its long term growth outlook as attractive and supportive of a premium multiple   he said 
Also sees Apple Card s success making it more likely that Goldman will use INS s CoreCard software for processing projects with other firms in the future 
Quant rating is Bullish ",77.514999,77.942497,76.220001,77.237503,75.793358,161940000,0
8,AAPL,24-01-2020,opinion,What To Do If A Stock On Your  Buy List  Has Already Run Up 100   Or More,"I got a great question recently from Barbara P  who wants to know 
 What do I do if a stock you ve recommended has already run up 100  
That s a far more common situation than most people think 
What s more  it s a terrific problem to have 
Let me explain 

Millions of investors dream about finding the next Alphabet  NASDAQ GOOGL  or Amazon com  NASDAQ AMZN   with good reason  Every  10 000 invested in the former when it went public is now worth a staggering  285 690  while every  10 000 invested in the latter when it first traded is now worth a jaw dropping  9 49 million 
What they re really wondering when they ask this question  though  is something slightly different 
I ve talked with tens of thousands of investors over the years  and what they re really asking most of the time is some variation of the following trifecta 
Isn t XYZ too expensive Did I miss the boat Can I still profit Let s talk about that today 
Myth  It s Too Expensive

First  just because a stock like Amazon is trading at  1 870 a sha...",80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
9,AAPL,24-01-2020,opinion,Previewing Tech Sector Earnings,We get into the heart of the Q4 earnings season this week  with almost 400 companies on deck to release quarterly results  including 139 S P 500 members  We have had a good run this earnings season thus far  with decent momentum on the revenues side and an above average proportion of companies beating top line estimates While the number of companies beating EPS estimates is tracking below other recent quarters  the tone and substance of management guidance and commentary is by and large favorable and reassuring  which is helping sustain estimates for the current and coming quarters  In fact  estimates for full year 2020 have actually nudged up in the last few weeks The Finance sector is heavily represented in the reports thus far  with this week bringing in a fairly representative cross section of all the other sectors  The focus this coming week will be on the Technology sector  with bellwethers like Apple  AAPL   Microsoft  MSFT   Facebook  NASDAQ FB   FB   Amazon  AMZN  and others on deck to report resu...,80.0625,80.832497,79.379997,79.577499,78.089607,146537600,0
